Company;Rating;Company_source
Hershey Company (The);26,1;The Hershey Co.
Honeywell International Inc.;28,6;Honeywell International, Inc.
Hunt (J.B.) Transport Services Inc.;14,8;J.B. Hunt Transport Services, Inc.
IDACORP Inc.;32,0;IDACORP, Inc.
IDEX Corp.;29,3;IDEX Corp.
ITT Corp.;28,7;ITT, Inc.
Illinois Tool Works Inc.;25,3;Illinois Tool Works, Inc.
Ingredion Incorporated;28,6;Ingredion, Inc.
Intel Corp.;18,9;Intel Corp.
Interpublic Group of Cos. Inc.;10,3;Interpublic Group of Cos., Inc.
Iridium Communications Inc.;27,8;Iridium Communications, Inc.
JetBlue Airways Corporation;28,0;JetBlue Airways Corp.
Johnson & Johnson;24,0;Johnson & Johnson
Johnson (S.C.) & Son Inc.;24,0;Johnson & Johnson
Johnson Controls Inc.;14,4;Johnson Controls International Plc
KB Home;14,0;KB Home
Kimberly-Clark Corp.;28,5;Kimberly-Clark Corp.
Kinross Gold Corp.;26,5;Kinross Gold Corp.
Koninklijke Philips N.V.;22,7;Koninklijke Philips NV
Lam Research Corp.;13,6;Lam Research Corp.
Lamar Advertising Co.;16,5;Lamar Advertising Co.
Louisiana-Pacific Corp.;22,2;Louisiana-Pacific Corp.
M/I Homes, Inc.;23,8;M/I Homes, Inc.
MGM Resorts International;24,8;MGM Resorts International
Magellan Midstream Partners LP;29,9;Magellan Midstream Partners LP
Marathon Oil Corporation;37,8;Marathon Oil Corp.
Martin Marietta Materials Inc.;30,1;Martin Marietta Materials, Inc.
MasTec Inc.;36,3;MasTec, Inc.
McCormick & Co. Inc.;26,1;McCormick & Co., Inc.
Merck Sharpe & Dohme Corp.;19,6;Merck KGaA
Meritage Homes Corporation;12,1;Meritage Homes Corp.
Meritor Inc.;;
Methanex Corp.;24,3;Methanex Corp.
Mobile TeleSystems PJSC;29,3;Mobile TeleSystems PJSC
Mohawk Industries Inc.;14,3;Mohawk Industries, Inc.
Mondelez International, Inc.;22,0;Mondelez International, Inc.
Moody's Corporation;15,8;Moody's Corp.
Mosaic Co. (The);33,6;The Mosaic Co.
Motorola Solutions Inc.;13,1;Motorola Solutions, Inc.
Mueller Water Products Inc.;33,0;Mueller Water Products, Inc.
Murphy Oil Corp.;32,1;Murphy Oil Corp.
NIKE Inc.;19,6;NIKE, Inc.
Nabors Industries Inc.;27,3;Nabors Industries Ltd.
National Fuel Gas Co.;39,3;National Fuel Gas Co.
New York Times Co. (The);11,6;The New York Times Co.
Newell Brands Inc.;13,7;Newell Brands, Inc.
NextEra Energy Inc.;23,2;NextEra Energy, Inc.
Nokia Corp.;10,3;Nokia Oyj
Norfolk Southern Corp.;23,2;Norfolk Southern Corp.
Northrop Grumman Corp.;27,5;Northrop Grumman Corp.
Nucor Corp.;32,8;Nucor Corp.
O'Reilly Automotive Inc.;12,1;O'Reilly Automotive, Inc.
Olin Corp.;40,9;Olin Corp.
Omnicom Group Inc.;16,3;Omnicom Group, Inc.
Open Text Corporation;17,6;Open Text Corp.
Otter Tail Corporation;42,1;Otter Tail Corp.
PACCAR Inc.;27,6;PACCAR, Inc.
PG&E Corp.;30,4;PG&E Corp.
PLDT Inc.;27,2;PLDT, Inc.
POSCO;34,3;POSCO Holdings Inc.
PPG Industries Inc.;25,2;PPG Industries, Inc.
Packaging Corp. of America;16,3;Packaging Corporation of America
Peabody Energy Corp.;51,4;Peabody Energy Corp.
Pearson PLC;6,0;Pearson Plc
PepsiCo Inc.;15,5;PepsiCo, Inc.
PerkinElmer Inc.;16,7;Revvity, Inc.
